"id";"coder";"entry_date";"file_name";"emp_state";"emp_state_other";"emp_city";"emp_institution";"emp_department";"job_title";"prof_denomination";"job_published";"job_deadline";"job_start";"job_asap";"job_position";"job_position_other";"job_has_tenure";"job_qualification_option";"job_has_scholarship";"job_phd_program";"job_has_limit";"job_limit_year";"job_limit_month";"job_extension";"job_extension_conc";"job_pay";"job_pay_other";"job_percentage";"job_third_party_fund";"job_teaching";"job_teaching_other";"job_require_exam";"job_subject_exam";"job_topic_require";"job_topic_task";"job_topic_conc";"job_method_require";"job_method_task";"job_method_conc";"job_software_require";"job_software_task";"job_software_conc";"job_research_require";"job_research_task";"job_research_conc";"job_funding_require";"job_funding_task";"job_funding_conc";"job_coordinate_require";"job_coordinate_task";"job_coordinate_conc";"job_teaching_require";"job_teaching_task";"job_teaching_conc";"job_admin_require";"job_admin_task";"job_admin_conc";"job_nonacademic_require";"job_non_academic_conc";"job_quali_require";"job_quali_task";"job_other_require";"job_other_require_conc";"job_other_task";"job_other_task_conc";"job_benefits";"appl_chances";"appl_disability";"appl_gender";"appl_diversity";"appl_family";"appl_dualcareer";"appl_parttime_option";"appl_cost"
"1";"GK";"";"2020-01-04_wimi_uni_mainz.pdf";"1";"";"Mainz";"Universität Mainz";"Instituts für Publizistik";"Wissenschaftliche/r Mitarbeiter/in (m/w/d), Mitarbeit im Studienbüro";"";"";"2020-01-04";"2020-04-01";"0";"13";"";"0";"0";"0";"0";"2";"NA";"NA";"0";"0";"13";"";"1";"1";"8";"";"1";"Kommunikationswissenschaft; verwandte Disziplin";"0";"0";"";"1";"0";"quantitative Methoden";"0";"0";"";"0";"1";"";"0";"0";"";"0";"0";"";"1";"1";"";"1";"1";"Studienbüro/Studeinberatung; Betreuung von Studierenden; Akademische Selbstverwaltung";"0";"";"1";"0";"1";"2,5 Jahre Berufserfahrung; organisatorisches Talent; Fähigkeit Überblick zu behalten; Offenheit im Umgang mit Menschen; organisierte Arbeitsweise; Temafähigkeit; Kommunikationskompetenz; Problemlösekompetenz";"1";"Mitarbeit im Studienbüro; Betreuung von Studierenden";"attraktive und vielseitige Stelle; angenehmes und kollegiales Klima; hervorragendes akademisches Umfeld; Jobticket; Personalentwicklungsangebote; flexible Arbeitszeitregelungen";"0";"1";"1";"1";"0";"0";"0";"0"
"2";"GK";"2021-21-02";"2020-01-07_postdoc_uni_leipzig.pdf";"1";"";"Leipzig";"Universivität Leipzig";"Fakultät für Sozialwissenschaften und Philosophie/ Institut für Kommunikations- und Medienwissenschaft";"Akademischer Assistent (m/w/d)";"";"";"2020-01-07";"2020-03-01";"0";"11";"";"0";"2";"0";"0";"1";"3";"0";"1";"3";"13";"";"1";"0";"4";"";"1";"Kommunikationswissenschaft; Wirtschaftswissenschaft";"0";"1";"Forschung zur strategischen Kommunikation; Unternehmens- und Organisationsvorraussetzung; Werbekommunikation";"0";"1";"Expertise in empirischer Sozialforschung (quantitativ/qualitativ)";"0";"0";"";"1";"1";"Entwicklung eines international sichtbaren Forschungsprogramms; Forschungsanträge";"0";"0";"";"0";"0";"";"1";"1";"Lehre und Methodenausbildung im Bachelor-Studiengang Kommunikations- und Medienwissenschaft, Lehre im Master-Studiengang Communication Management";"0";"1";"Studienberatung und Qualitätmanagement für den Studiengang Communication Management";"0";"";"0";"1";"1";"Habilitation, eigene Arbeit im Bereich strategische Kommunikation/ Unternehmenskommunikation oder Erfahrung in verwandten Themenfeldern, die zur Lehre und Forschung in diesem Bereich befähigen";"0";"";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"3";"GK";"";"2020-01-07_postdoc_liw_tuebingen.pdf";"1";"";"Tübingen";"Leibniz-Institut für Wissensmedien";"";"Wissenschaftliche/n Mitarbeiter/in: Postdoktorand/in (m/w/d) in Vollzeit";"";"2019-03-10";"2020-01-07";"2020-04-01";"0";"12";"";"0";"0";"0";"0";"1";"3";"0";"3";"NA";"13";"";"1";"1";"NA";"";"1";"Psychologie (Schwerpunkt Medien-, Sozial- oder Organisationspsychologie); Kommunikationswissenschaft";"1";"0";"Medien-,Sozial-,oder Organisationspsychologie;Kommunikationswissenschaft";"1";"1";"Analyse komplexer Daten (Multilevelmodelle für langsschnittliche Daten); Experimente; Open Science Praktiken; Measurement Burst Feldstudie";"0";"0";"";"1";"1";"Vorerfahrung in Planung, Durchführung und Analyse von Experimenten; Erfahrung in Rekrutierung für Feldstudien; Konzeption, Prärekrutierung, Durchfühung, Auswertung und Dokumentation von Studien";"0";"0";"";"0";"0";"";"0";"0";"";"0";"1";"Mitarbeit im Rahmen der allgemeinen Institutsaufgaben";"1";"Publikationserfahrung";"1";"1";"";"sehr gute Englischkenntnisse";"0";"";"kooperatives Team und individuelle Betreuung; anregendes wissenschaftliches Umfeld; Integration in ein sehr innovatives, methodisch sehr anspruchsvolles Projekt und weitere Forschungsaktivitäten des Instituts";"1";"1";"0";"0";"0";"0";"0";"0"
"4";"GK";"";"2020-01-07_postdoc_uni_muenchen.pdf";"1";"";"München";"LMU München";"Institut für Kommunikationswissenschaft und Medienforschung";"Wissenschaftliche/r Assistent/in";"";"";"2020-01-07";"2020-03-01";"0";"12";"";"0";"2";"0";"0";"1";"3";"0";"1";"3";"23";"";"1";"1";"5";"";"1";"Kommunikationswissenschaft (Medienforschung u.ä.)";"0";"1";"Lehre im Bereich strategische persuasive Kommunikation; Organisationskommunikation; Public Relations";"1";"0";"sehr gute Kenntnisse in Statistik/multivariate Datenanalyse und Methoden der empirischen Kommunikationsforschung (vorzugusweise mit dem Schwerpunkt auf quantitativen und qualitativen Verfahren der Inhaltsanalyse)";"0";"0";"";"1";"1";"Forschungserfahrung, Mitarbeit in Forschungsprojekten, inkl. eigenständiger Akquise und Durchführung eigener Projekte";"1";"1";"Erfahrung im Projektmanagement bzw. der Akquise und Durchführung von Drittmittelprojekten";"1";"1";"Akquise und Durchführung von Drittmittelprojekten";"1";"1";"besonders im Master-Studiengang ""Internationale Public Relations"", pädagogisch-didaktische Kenntnisse und Erfahrungen im Bereich der Hochschullehre";"1";"1";"aktive Beteiligung an Aufgaben der Selbstverwaltung und Gremienarbeit des Departments, Betreuung der Studenten, Examensarbeiten und Dissertationen";"1";"Publikationserfahrung";"1";"1";"1";"sehr gute deutsch und englisch Kenntnisse, internationale Publikationen und Auslandsaufenthalte sind von Vorteil, hoch motiviert und selbstständig, gute Vernetzung mit der PR-Praxis von Vorteil";"";"";"";"1";"1";"1";"0";"0";"0";"0";"0"
"5";"GK";"";"2020-01-07_postoc_uni_passau.pdf";"1";"";"Passau";"Universität Passau";"";"Wissenschaftliche Mitarbeiterin/ WIssenschaftlicher Mitarbeiter (m/w/d)";"";"";"2020-01-07";"2020-07-31";"0";"11";"";"0";"1";"0";"0";"1";"2";"0";"1";"2";"13";"";"0,65";"1";"NA";"";"1";"Kommunikationswissenschaft; angrenzende sozialwissenschaftliche Disziplin";"0";"1";"Foreign audiences as co-creators and disseminators of Russia's strategic narratives in Belarus, Germany and the Baltic countries";"1";"1";"Computational Method, Web Scraping, traditionelle sozialwissenschaftliche Methoden";"0";"0";"";"1";"1";"selbstständige Mitarbeit an Teilprojekt des ERC-Projektes; Verfassen von eigenständigen und gemeinschaftlichen Publikationen des Teilprojekts; Mitarbeit und Unterstützung; Verwaltung und Organisation des ERS-Projektes (bspw. Organisation von Tagungen oder Workshops), qualitative Interviews, Umfrageforschung";"0";"0";"";"0";"1";"Übernahme von Führungsaufgaben im Rahmen eines Teilprojektes; Mitarbeit in der Verwaltung und Organisation des ERC-Projektes, beispielsweise bei der Organisation von Workshops und Tagungen";"0";"0";"";"0";"1";"Verwaltung und Organisation des ERC-Projektes";"0";"";"1";"1";"";"sehr gute Englischkenntnisse, sehr gute Sprachkenntnisse in mind. einer anderen Sprache (Russisch/Weißrussisch/ Deutsch/estnisch und/oder Lettisch); Teamfähigkeit, selbstständiges Arbeiten; flexibel und autonom, ausgeprägte Problemlösungskompetenz; ausgeprägte Kommunikationsfähigkeit; Bereitschaft zu organisatorischen und unterstützenden Tätigkeiten; Erfahrungen in der Mitarbeit in Forschungsgruppen sind von Vorteil";"0";"";"spannende und herausfordernde wissenschaftliche Tätigkeit mit vielfältigen Möglichkeiten, eigene Ideen umzusetzen; ideale Rahmenbedingungen für die Erstellung einer Promotion; inspirierendes Umfeld im Form einer Forschungsgruppe, die international hochsichtbare Forschung im Themengebiet der Promotion anstrebt; finanzielle Unterstützung der Teilnahme an einem breiten Spektrum projektbezogener Konferenzen, Workshops und Methodentrainings; hohes Maß an Freiheit bei der Gestaltung der Arbeitsprozesse; angenehmes Arbeitsklima in einer Stadt mit hoher Lebensqualität auf einem modernen, nur wenige Gehminuten von der historischen Altstadt entfernten Universitätscampus";"1";"1";"1";"0";"0";"0";"0";"0"
"6";"GK";"";"2020-01-07_praedoc_uni_passau.pdf";"1";"";"Passau";"Universität Passau";"";"Wissenschaftliche Mitarbeiterin/ Wissenschaftlicher Mitarbeiter (m/w/d)";"";"";"2020-01-07";"2020-07-31";"0";"11";"";"0";"1";"0";"1";"1";"3";"0";"1";"1";"13";"";"0,65";"1";"NA";"";"1";"Kommunikationswissenschaft; angrenzende sozialwissenschaftliche Disziplin";"0";"1";"Verfassen einer Promotion im unter dem Titel The transnational social media audiences of Russia's domestic media";"1";"0";"Erfahrung und Anwendung traditioneller, sozialwissenschaftlicher Methoden, idealerweise Schwerpunkt Umfrageforschung und/oder teilstrukturierter Interviews; Computional Methods in der sozialwissenschaftlichen Forschung";"1";"1";"Gute Kenntnisse und Erfahrung oder Bereitschaft zum Einarbeiten in die Anwendung neuer Coputer Methods in der sozialwissenschaftlichen Forschung (idealerweise mit dem Schwerpunkt des automatischen Sammeln von Webinhalten)";"1";"1";"eigenverantwortliche Mitarbeit an einem Teilprojekt des ERC-Projekts, Präsentation von Forschungsergebnissen auf nationalen und internationalen Tagungen";"0";"0";"";"0";"1";"Verwaltung und Organisation des ERC-Projektes, bspw. in der Organisation von Workshops und Tagungen";"0";"0";"";"1";"1";"Mitarbeit in der Verwaltung und Organisation des ERC-Projektes, bspw. bei der Organisation von Workshops und Tagungen";"0";"";"1";"1";"1";"sehr gute englisch und russisch Kenntnisse; Kenntnisse weiterer Sprachen aus der post-sowjetischen Region (von Vorteil); gute deutsch Kenntnisse oder die Bereitschaft, Deutsch zu lernen; Erfahrung in der Mitarbeit von Forschungsgruppen (von Vorteil); augeprägte Teamfähigkeit; Fähigkeit zu selbststädigem Arbeiten; ausgeprägte Problemlösekompetenz; Flexibilität und Autonomie; ausgeprägte Kommunikationsfähigkeit";"1";"Bereitschaft zu organisatorischen und unterstützenden Fähigkeiten";"spannende und herausfordernde wissenschaftliche Tätigkeit mit vielfältigen Möglichektien eigene Ideen umzusetzen; ideale Rahemenbedingungen für Promotion; inspirierendes Umfeld in Form einer Forschungsgruppe, die international hochsichtbare Forschung im Themengebiet Ihrer Promotion anstrebt; finanzielle Unterstützung an breiten Spektrum projektbezogener Konferenzen, Workshops und Methodentraining; hohes Maß an Freiheit bei der Gestaltung der Arbeitsprozesse; angenehmes Arbeitsklima in einer Stadt mit hoher Lebensqualität auf einem moderenen, nur wenige Gehminuten von der historischen Altstadt entfernten Universitätscampus";"1";"1";"1";"0";"0";"0";"0";"0"
"7";"GK";"";"2020-01-07_praedoc2_uni_passau.pdf";"1";"";"Passau";"Universität Passau";"";"Wissenschaftliche Mitarbeiterin/ Wissenschaftlicher Mitarbeiter (m/w/d)";"";"";"2020-01-07";"2020-07-31";"0";"11";"";"0";"1";"0";"1";"1";"3";"0";"1";"1";"13";"";"0,65";"1";"NA";"";"1";"Kommunikationswissenschaft; angrenzende sozialwissenschaftliche Disziplin";"0";"1";"Promotion im Themenbereich Foreign audiences as co-creators and disseminators of Russia's strategic narratives in Belarus, Germany and the Baltic countries";"1";"1";"Computational Method, Web Scraping, traditionelle sozialwissenschaftliche Methoden";"1";"1";"Gute Kenntnisse und Erfahrung oder Bereitschaft zum Einarbeiten in die Anwendung neuer Coputer Methods in der sozialwissenschaftlichen Forschung (idealerweise mit dem Schwerpunkt des automatischen Sammeln von Webinhalten)";"1";"1";"eigenverantwortliche Mitarbeit an einem Teilprojekt des ERC-Projekts, Präsentation von Forschungsergebnissen auf nationalen und internationalen Tagungen, Umfrageforschung";"0";"0";"";"0";"1";"Verwaltung und Organisation des ERC-Projektes, bspw. in der Organisation von Workshops und Tagungen";"0";"0";"";"1";"1";"Verwaltung und Organisation des ERC-Projektes, bspw. in der Organisation von Workshops und Tagungen";"0";"";"1";"1";"1";"sehr gute englisch kenntnisse, sehr gute Kenntnisse mind. einer Sprach (idealweise mehrerer) russisch, weißrussisch, deutsch, estnisch, und/oder lettisch; gute Deutschkenntnisse oder die Bereitschaft Deutsch zu lernen,Erfahrung in der Mitarbeit in Forschungsgruppen, ausgeprägte Teamfähigkeit, Fähigkeit zu selbsständigem Arbeiten, ausgeprägte Problemlösungskompetenz, Felxibilität und Autonomie, ausgeprägte Kommunikationsfähigkeit, Bereitschaft zu organisatorischen und unterstützenden Tätigkeiten";"";"";"spannende und herausfordernde wissenschaftliche Tätigkeit mit vielfältigen Möglichkeiten, eigene Ideen umzusetzen; ideale Rahmenbedingungen für die Erstellung einer Promotion; inspirierendes Umfeld im Form einer Forschungsgruppe, die international hochsichtbare Forschung im Themengebiet der Promotion anstrebt; finanzielle Unterstützung der Teilnahme an einem breiten Spektrum projektbezogener Konferenzen, Workshops und Methodentrainings; hohes Maß an Freiheit bei der Gestaltung der Arbeitsprozesse; angenehmes Arbeitsklima in einer Stadt mit hoher Lebensqualität auf einem modernen, nur wenige Gehminuten von der historischen Altstadt entfernten Universitätscampus";"1";"1";"1";"0";"0";"0";"0";"0"
"8";"GK";"2021-21-02";"2020-01-07_w2_uni_eichstaett-ingolstadt.pdf";"1";"";"Eichstätt-Ingolstadt";"Universität Eichstätt-Ingolstadt";"Sprach- und Literaturwissenschaftliche Fakultät, Zentrum Flucht und Migration";"Professur für Medien und Öffentlichkeit mit Schwerpunkt Migration (W2)";"Medien und Öffentlichkeit mit Schwerpunkt Migration";"";"2020-01-07";"asap";"1";"23";"";"0";"0";"0";"0";"1";"5";"0";"0";"0";"2";"";"1";"1";"NA";"";"1";"Kommunikationswissenschaften; vergleichbare sozialwissenschaftliche Disziplin";"1";"1";"Journalistik und Flucht; Migration; Gesellschaft";"1";"1";"Kenntnisse der Analyse und Modelierung von Kommunikationsprozessen; Webscraping; automatisierte Inhaltsanalysen; Netzwerkanalysen; Kenntnisse empirischer Sozialforschung";"0";"0";"";"1";"1";"Flucht- und Migrationsforschung; Zusammenhang von Medien, Öffentlichkeit und Migration";"1";"0";"";"0";"0";"0";"0";"1";"Lehre in den Bachelor- und Masterstudiengängen der Journalistik, Lehre im Masterstudiengang ""Flucht, Migration, Gesellschaft""; intensiven Betreuung der Studierenden";"0";"0";"";"0";"";"1";"0";"1";"ausgewiesen im Bereich der sozialwissenschaftlicher Forschung zu (digitalen) öffentlichen Kommunikationsprozessen, hervorragende Vertretung der Lehre und Forschung des Teilgebietes der Flucht- und Migrationsforschung";"1";"fortführen laufender Projekte, Erschließung neuer Forschungsfelder";"Förderung der Gleichberechtigung, Vereinbarkeit von Familie und Beruf";"0";"1";"1";"0";"1";"0";"0";"0"
"9";"GK";"2021-03-02";"2020-01-13_ass_prof_bi_oslo.pdf";"4";"Norwegen";"Oslo";"Bi Norwegian Business School";"Institut für Kommunikation und Kultur";"Assoziierter Professor für Kommunikation mit Schwerpunkt Digitalisierung";"Kommunikation mit Schwerpunkt Digitalisierung";"";"2020-01-13";"asap";"1";"20";"";"0";"0";"0";"0";"0";"NA";"NA";"0";"0";"30";"nach Vereinbarung";"1";"0";"NA";"";"1";"0";"1";"1";"Digitale Kommunikation im Arbeitsleben und in Organisation (Koopersationsbereiche, Kommunikationskanäle, Social Media); Kommunikation und Technologie (Anwendungen, Algorithmen, Plattform, Mobil); Social media (Inhalte, Verbreitung, Netzwerkkommunikation); Digitale Marktkommunikation und Öffentlichkeitsarbeit ( Stakeholder Relations, enschließlich Kundenbeziehungsmanagement, SEO, Weanalyse und Automatisierung)";"0";"0";"";"0";"0";"";"1";"1";"Vorerfahrung durch eigene Veröffentlichung auf dem Gebiet; internationale und nationale Forschungskooperationen;";"1";"1";"Beantragung von Drittmittelstellen für wichtige Forschungsprojekte, durch den norwegischen und EU-Forschungsrat";"0";"0";"0";"1";"1";"Erfahrung in Lehre und Betreuung auf Bachelor- und Masterebene; pädagogische Qualifikationen";"0";"1";"Digitale Marktkommunikation und Öffentlichkeitsarbeit (Stakeholder Relations, Kundenbeziehungsmanaagement, SEO, Webanalyse und Automatisierung)";"0";"";"1";"1";"1";"relevante Promotionen; gute mündliche und schriftliche Produktionskenntnisse ind ENglisch und Norwegisch (möglicherweise in skandinavischer Sprache); innerhalb von 5 Jahren gute Kenntnisse der norwegischen sozialen Verhältnisse, Kultur und des Organisationslebens";"1";"pädagogische Qualifikation (auch zum Nachholen durch Pädagogikkurs)";"spannendes Forschungs- und Lehrumfeld; hutes Arbeitsumfeld; nationale und internationale Forschungskooperationen; Unterstützung für extern finanzielle Forschungsanträge ud -projekte; Position wird in das kollektive Rentensystem der BI bei der staatlichen Pensionskasse aufgenommen";"0";"0";"0";"0";"0";"0";"0";"0"
"10";"GK";"";"2020-01-15_postdoc_hbi_hamburg.pdf";"1";"";"Hamburg";"Hans-Bredow-Institut";"Leibniz- Institut für Medienforschung";"Senior Researcher im Bereich Computational Social Science (m/w/d)";"";"";"2020-01-15";"asap";"1";"12";"";"0";"0";"0";"0";"1";"5";"0";"2";"0";"14";"";"1";"0";"NA";"";"1";"Kommunikationswissenschaft; Journalistik; Informatik; Informationswissenschafft; Data Science; Statistik; anderes Fach mit Bezügen zu Computational Social Science";"0";"0";"";"1";"1";"exzellente Kenntnisse und Erfahrungen im Bereich der Kommunikations- und Medienforschung; Computational Social Science; Interesse an Transfer wissenschaftlicher Methoden und Befunde in der Gesellschaft";"1";"1";"Programmierkenntnisse und -erfahrung in Python, R und/oder C++, Erfahrung mit Cloud Computing, UNIX-basierten Betriebssystemen, Datenbanken und gängige Social Media APIs";"0";"1";"Mitarbeit an interdisziplinären Forschungsprojekten, leitende und koordinierende Aufgaben im Rahmen des ""Media Research Methods Lab""";"1";"1";"Erfahrung in eigenständiger Projektäquise und -leitung";"0";"1";"aktives Einwerben von Drittmitteln";"0";"0";"";"1";"1";"Mitwirkung an weiteren institutsinternen Gremien und der Redaktion von ""Medien und Kommunikationswissenschaft""";"0";"";"1";"1";"1";"Erfahrung und Begeisterung für wissenschaftliche Arbeit in komplexen, interdisziplinären Teams; englisch Kenntnisse auf mind. C1-Niveau, Bereitschaft entsprechende Deutschkenntnisse anzueignen, Interesse an Transfer wissenschaftlicher Methoden und Befunde in der Gesellschaft";"0";"";"anspruchsvolle wissenschaftliche Arbeit, regen und regelmäßiger wissenschaftlicher Austausch, Förderung der Mitarbeiter*innen durch interne Weiterbildungsangebote und Einbindung in (inter)nationale Netzwerke";"1";"1";"1";"1";"0";"0";"0";"0"
