ort;emp_institution;lat;lon
Augsburg;Universität Augsburg;48,33264454440566;10,896377640910785
Babelsberg;Filmuniversität Babelsberg;52,38860499317138;13,117231014039119
Berlin;Alexander-Humboldt Universität Berlin;52,51786992252285;13,393751658222207
Berlin;Freie Universität Berlin;52,45430486554283;13,293326594995298
Berlin;Humboldt Institut für Internet und Gesellschaft;52,51454657945781;13,386869425684024
Bern;Universität Bern;46,95051887444292;7,438043896694303
Bonn;Hochschule Bonn-Rhein-Sieg;50,779506440405406;7,182787517160824
Bonn;Universität Bonn;50,727643099447235;7,0861416624082665
Bremen;Universität Bremen;53,10676545754313;8,852052698716369
Chemnitz;Universität Chemnitz;50,83928315971688;12,92763946981576
Darmstadt;Hochschule Darmstadt;49,867393856145476;8,63821941396797
Dortmund;Technische Universität Dortmund;51,4895053012209;7,414401906609111
Dresden;Technische Universität Dresden;51,02851185464155;13,731414871672179
Düsseldorf;IST-Hochschule für Management;51,21931329792757;6,8146711060666965
Düsseldorf;Universität Düsseldorf;51,19080245699763;6,7951085380691865
Eichstätt-Ingolstadt;Universität Eichstätt-Ingolstadt;48,88897687804136;11,189916288807373
Erfurt;Universität Erfurt;50,99065017308409;11,010804727491742
Flensburg;Universität Flensburg;54,77667925633652;9,458374431303296
Fribourg;Universität Fribourg;46,806386353234714;7,152166931079687
Friedrichshafen;Zeppelin Universität;47,65880772718045;9,4337984850719
Gelsenkirchen;Hochschule Gelsenkirchen;51,57413940376163;7,027168223806085
Graubünden;Fachhochschule Graubünden;46,8477203654511;9,509823694786434
Greifswald;Universität Greifswald;54,09491494526091;13,374712744775621
Hamburg;Hamburg Media School;53,56921427772395;10,032994712222184
Hamburg;Hans-Bredow-Institut;53,56573474548416;9,989524298729734
Hamburg;Universität Hamburg;53,56681257685063;9,98501646565692
Heidelberg;SRH Hochschule Heidelberg;49,41401762052503;8,65113782929897
Hohenheim;Universität Hohenheim;48,71183120298128;9,2114941065319
Innsbruck;Universität Inssbruck;47,26325952730961;11,383575293000478
Klagenfurt;Universität Klagenfurt;46,6160842264467;14,265080475788812
Koblenz;Universität Koblenz-Landau;49,20414029652121;8,107797600497037
Köln;Deutsche Sportschule Köln;50,93512867954521;6,870048083310851
Köln;GESIS;50,942681662397845;6,9522985428339
Köln;HMKW Köln;50,914107767076686;6,943140413997214
Köln;Technische Hochschule Köln;50,92162314522997;6,963454256325681
Leipzig;Universivität Leipzig;51,33876011969832;12,379577782071987
Leuven;KU Leuven;50,8779612491565;4,700391858175538
Lugano;Universitá della Svizzera Italiana;46,01084220474486;8,958177356192458
Mainz;Universität Mainz;49,99512328593525;8,241608842807334
Mannheim;Universität Mannheim;49,48371057935363;8,462297671629072
München;Bayrische Akademie der Wissenschaften;48,14155853127365;11,581075390638144
München;LMU München;48,14919421817854;11,580761911535161
Münster;Universität Münster;51,96393134562789;7,612975848950843
Neu-Ulm;Hochschule Neu-Ulm;48,380300982872775;10,003339250340137
Oslo;Bi Norwegian Business School;59,94842834578528;10,768502854743687
Osnabrück;Hochschule Osnabrück;52,28259500528938;8,024881554513257
Paderborn;Universität Paderborn;51,70857301445086;8,771125213238143
Passau;Universität Passau;48,56773528145447;13,452872500439945
Potsdam;Universität Potsdam;52,40100519580698;13,01177032382969
Salzburg;Universität Salzburg;47,79719543620193;13,048109227403923
Trondheim;Norwegian University of Science and Technology;63,41947017924516;10,401916166495718
Tübingen;Leibniz-Institut für Wissensmedien;48,52452778203906;9,05503030414093
Tübingen;Universität Tübingen;48,52940002412347;9,043613066049787
Weimar;Universität Weimar;50,97482057144478;11,32891768188456
Wien;Universität Wien;48,21320692705519;16,35992165254885
Wuppertal;Universität Wuppertal;51,24483822528827;7,149373294960855
Würzburg;Hochschule Würzburg-Schweinfurdt;49,78879146836536;9,932372291633769
Würzburg;Universität Würzburg;49,78805669863306;9,934648454977728
Zürich;Universität Zürich;47,374285751008394;8,550809537182763
